epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96132,1.22246,2.40081,1.33047,0.01,1,0.51981,0.18005,1.48035,2.58193,1.63601,0,0,0
2,6.10311,1.43628,2.43285,1.48423,0.01,1,0.52072,0.20708,1.39716,2.56047,1.58809,1.9802e-05,1.9802e-05,1.9802e-05
3,9.03591,1.21491,2.404,1.36431,0.01,1,0.59893,0.28632,1.323,2.51907,1.52894,3.9208e-05,3.9208e-05,3.9208e-05
4,11.9042,1.06779,2.33131,1.28653,0.01,1,0.62787,0.3723,1.17098,2.48822,1.42428,5.8218e-05,5.8218e-05,5.8218e-05
5,14.7535,0.92374,2.2649,1.13793,0.01,1,0.74059,0.48085,1.0345,2.45626,1.30451,7.6832e-05,7.6832e-05,7.6832e-05
6,17.6567,0.75662,2.15132,1.04834,0.01,1,0.79824,0.58292,0.87516,2.43596,1.15017,9.505e-05,9.505e-05,9.505e-05
7,20.5147,0.70677,2.03669,1.02706,0.01,1,0.87833,0.68996,0.70524,2.41516,1.03152,0.000112872,0.000112872,0.000112872
8,23.5914,0.62623,1.86515,1.03444,0.01,1,0.97214,0.8093,0.51954,2.37888,0.91768,0.000130298,0.000130298,0.000130298
9,26.7116,0.70472,1.73583,1.00588,0.01,1,0.98885,0.84056,0.43958,2.33039,0.88174,0.000147328,0.000147328,0.000147328
10,29.946,0.68001,1.55557,1.00978,0.01,1,0.995,0.85601,0.44739,2.26055,0.88689,0.000163962,0.000163962,0.000163962
11,32.7543,0.55808,1.26879,0.93585,0.01,1,0.995,0.84372,0.5093,2.16009,0.92193,0.0001802,0.0001802,0.0001802
12,35.521,0.48046,1.24831,0.92952,0.95522,1,0.995,0.81161,0.5847,2.03051,0.99368,0.000196042,0.000196042,0.000196042
13,38.3352,0.52142,1.135,0.90602,1,0.49788,0.995,0.8008,0.64151,1.9138,1.0508,0.000211488,0.000211488,0.000211488
14,41.0671,0.51892,1.00634,0.96716,1,0.8596,0.995,0.84364,0.57106,1.83546,0.99483,0.000226538,0.000226538,0.000226538
15,43.9069,0.57158,1.10755,0.99837,0.99628,1,0.995,0.88402,0.45829,1.78918,0.9118,0.000241192,0.000241192,0.000241192
16,46.6465,0.47206,0.88262,0.90463,0.98361,1,0.995,0.89258,0.44647,1.73372,0.91327,0.00025545,0.00025545,0.00025545
17,49.4479,0.52531,0.876,0.93865,0.97537,1,0.995,0.87619,0.47773,1.7217,0.92521,0.000269312,0.000269312,0.000269312
18,52.0493,0.52128,0.85468,0.91177,0.97537,1,0.995,0.87619,0.47773,1.7217,0.92521,0.000282778,0.000282778,0.000282778
19,54.8181,0.542,0.85433,0.95554,0.97343,1,0.995,0.87068,0.49339,1.72243,0.92813,0.000295848,0.000295848,0.000295848
20,57.5927,0.49045,0.80299,0.97583,0.97343,1,0.995,0.87068,0.49339,1.72243,0.92813,0.000308522,0.000308522,0.000308522
21,60.471,0.52979,0.8126,0.90784,0.96664,1,0.995,0.90079,0.47912,1.68382,0.92916,0.0003208,0.0003208,0.0003208
22,63.2541,0.54962,0.833,0.91546,0.96664,1,0.995,0.90079,0.47912,1.68382,0.92916,0.000332682,0.000332682,0.000332682
23,66.0458,0.46059,0.8375,0.90555,0.98557,1,0.995,0.85954,0.60378,1.47181,0.99388,0.000344168,0.000344168,0.000344168
24,68.7597,0.5263,0.8255,0.95082,0.98557,1,0.995,0.85954,0.60378,1.47181,0.99388,0.000355258,0.000355258,0.000355258
25,71.5027,0.47615,0.71853,0.91042,0.99656,1,0.995,0.84693,0.59039,1.12734,1.00404,0.000365952,0.000365952,0.000365952
26,74.2186,0.47059,0.74577,0.92852,0.99656,1,0.995,0.84693,0.59039,1.12734,1.00404,0.00037625,0.00037625,0.00037625
27,76.95,0.48312,0.71272,0.92649,1,0.99976,0.995,0.8574,0.52782,0.92748,0.96064,0.000386152,0.000386152,0.000386152
28,79.6138,0.44835,0.70529,0.90201,1,0.99976,0.995,0.8574,0.52782,0.92748,0.96064,0.000395658,0.000395658,0.000395658
29,82.3294,0.46651,0.73051,0.93405,1,0.99945,0.995,0.86972,0.48587,0.87653,0.94835,0.000404768,0.000404768,0.000404768
30,85.0385,0.46279,0.66668,0.92486,1,0.99945,0.995,0.86972,0.48587,0.87653,0.94835,0.000413482,0.000413482,0.000413482
31,87.9348,0.45948,0.69744,0.88881,0.9993,1,0.995,0.88448,0.49726,0.91108,0.94423,0.0004218,0.0004218,0.0004218
32,90.6548,0.45206,0.65101,0.91597,0.9993,1,0.995,0.88448,0.49726,0.91108,0.94423,0.000429722,0.000429722,0.000429722
33,93.3942,0.45727,0.69257,0.92078,0.99583,1,0.995,0.87391,0.49516,0.90319,0.90754,0.000437248,0.000437248,0.000437248
34,96.0996,0.42722,0.64047,0.93126,0.99583,1,0.995,0.87391,0.49516,0.90319,0.90754,0.000444378,0.000444378,0.000444378
35,98.923,0.4429,0.67696,0.92257,0.99458,1,0.995,0.86872,0.50083,0.79128,0.88996,0.000451112,0.000451112,0.000451112
36,101.61,0.4379,0.64245,0.91528,0.99458,1,0.995,0.86872,0.50083,0.79128,0.88996,0.00045745,0.00045745,0.00045745
37,104.361,0.4486,0.65092,0.92508,0.99406,1,0.995,0.89119,0.46141,0.68563,0.87492,0.000463392,0.000463392,0.000463392
38,107.138,0.4241,0.60672,0.9164,0.99406,1,0.995,0.89119,0.46141,0.68563,0.87492,0.000468938,0.000468938,0.000468938
39,109.93,0.44049,0.59734,0.92096,0.99435,1,0.995,0.90307,0.44259,0.61288,0.85881,0.000474088,0.000474088,0.000474088
40,112.723,0.43482,0.64878,0.93719,0.99435,1,0.995,0.90307,0.44259,0.61288,0.85881,0.000478842,0.000478842,0.000478842
41,115.433,0.40254,0.61691,0.91104,0.99497,1,0.995,0.91354,0.45123,0.62689,0.85583,0.0004832,0.0004832,0.0004832
42,118.316,0.41294,0.61175,0.87792,0.99497,1,0.995,0.91354,0.45123,0.62689,0.85583,0.000487162,0.000487162,0.000487162
43,121.14,0.48206,0.61658,0.89496,0.99493,1,0.995,0.87557,0.5152,0.69387,0.89398,0.000490728,0.000490728,0.000490728
44,123.829,0.41993,0.58829,0.87925,0.99493,1,0.995,0.87557,0.5152,0.69387,0.89398,0.000493898,0.000493898,0.000493898
45,126.486,0.42368,0.5721,0.91253,0.98889,1,0.995,0.86032,0.60064,0.74888,0.96086,0.000496672,0.000496672,0.000496672
46,129.168,0.45292,0.61903,0.95033,0.98889,1,0.995,0.86032,0.60064,0.74888,0.96086,0.00049905,0.00049905,0.00049905
47,131.901,0.45812,0.58801,0.93073,1,0.98397,0.995,0.86325,0.52195,0.73751,0.91509,0.000501032,0.000501032,0.000501032
48,134.66,0.44973,0.56861,0.90088,1,0.98397,0.995,0.86325,0.52195,0.73751,0.91509,0.000502618,0.000502618,0.000502618
49,137.428,0.44256,0.56163,0.89918,1,0.9981,0.995,0.91979,0.45472,0.65929,0.8653,0.000503808,0.000503808,0.000503808
50,140.174,0.37877,0.54531,0.87511,1,0.9981,0.995,0.91979,0.45472,0.65929,0.8653,0.000504602,0.000504602,0.000504602
51,142.913,0.41966,0.57207,0.90115,0.98859,1,0.995,0.91261,0.4256,0.60194,0.83235,0.000505,0.000505,0.000505
52,145.628,0.37979,0.55578,0.90066,0.98859,1,0.995,0.91261,0.4256,0.60194,0.83235,0.000505002,0.000505002,0.000505002
53,148.538,0.4448,0.57265,0.90098,0.98859,1,0.995,0.91261,0.4256,0.60194,0.83235,0.000504608,0.000504608,0.000504608
54,151.396,0.43718,0.59558,0.89384,0.98963,1,0.995,0.92082,0.43646,0.57473,0.85178,0.000503818,0.000503818,0.000503818
55,154.095,0.4147,0.58851,0.87544,0.98963,1,0.995,0.92082,0.43646,0.57473,0.85178,0.000502632,0.000502632,0.000502632
56,156.989,0.40269,0.57349,0.88729,0.98963,1,0.995,0.92082,0.43646,0.57473,0.85178,0.00050105,0.00050105,0.00050105
57,160.131,0.42456,0.57633,0.89257,0.99318,1,0.995,0.89708,0.52336,0.59945,0.9159,0.000499072,0.000499072,0.000499072
58,163.084,0.41494,0.56786,0.8887,0.99318,1,0.995,0.89708,0.52336,0.59945,0.9159,0.000496698,0.000496698,0.000496698
59,165.829,0.38371,0.55222,0.8976,0.99318,1,0.995,0.89708,0.52336,0.59945,0.9159,0.000493928,0.000493928,0.000493928
60,168.652,0.4228,0.54477,0.90516,0.99433,1,0.995,0.84023,0.6006,0.61126,0.94833,0.000490762,0.000490762,0.000490762
61,171.374,0.45798,0.57023,0.91004,0.99433,1,0.995,0.84023,0.6006,0.61126,0.94833,0.0004872,0.0004872,0.0004872
62,174.102,0.40059,0.5313,0.92863,0.99433,1,0.995,0.84023,0.6006,0.61126,0.94833,0.000483242,0.000483242,0.000483242
63,176.898,0.39905,0.53075,0.89108,0.99472,1,0.995,0.88416,0.5139,0.62064,0.89492,0.000478888,0.000478888,0.000478888
64,179.695,0.37216,0.52271,0.87244,0.99472,1,0.995,0.88416,0.5139,0.62064,0.89492,0.000474138,0.000474138,0.000474138
65,182.442,0.42556,0.54907,0.89968,0.99472,1,0.995,0.88416,0.5139,0.62064,0.89492,0.000468992,0.000468992,0.000468992
66,185.177,0.36922,0.54386,0.89241,0.99473,1,0.995,0.89732,0.46957,0.63851,0.8711,0.00046345,0.00046345,0.00046345
67,188.124,0.36349,0.52122,0.88492,0.99473,1,0.995,0.89732,0.46957,0.63851,0.8711,0.000457512,0.000457512,0.000457512
68,190.8,0.33723,0.50652,0.90341,0.99473,1,0.995,0.89732,0.46957,0.63851,0.8711,0.000451178,0.000451178,0.000451178
69,193.569,0.38091,0.53256,0.88155,0.99468,1,0.995,0.92018,0.48103,0.62508,0.87462,0.000444448,0.000444448,0.000444448
70,196.262,0.3787,0.51455,0.90689,0.99468,1,0.995,0.92018,0.48103,0.62508,0.87462,0.000437322,0.000437322,0.000437322
71,199,0.40806,0.53193,0.89012,0.99468,1,0.995,0.92018,0.48103,0.62508,0.87462,0.0004298,0.0004298,0.0004298
72,201.766,0.35983,0.52221,0.87442,0.99361,1,0.995,0.88544,0.50451,0.58106,0.88109,0.000421882,0.000421882,0.000421882
73,204.48,0.36359,0.50672,0.89323,0.99361,1,0.995,0.88544,0.50451,0.58106,0.88109,0.000413568,0.000413568,0.000413568
74,207.436,0.35674,0.51415,0.90007,0.99361,1,0.995,0.88544,0.50451,0.58106,0.88109,0.000404858,0.000404858,0.000404858
75,210.283,0.37225,0.49254,0.86336,0.99292,1,0.995,0.8913,0.49259,0.5569,0.86773,0.000395752,0.000395752,0.000395752
76,213.049,0.34448,0.47881,0.86533,0.99292,1,0.995,0.8913,0.49259,0.5569,0.86773,0.00038625,0.00038625,0.00038625
77,215.795,0.40576,0.51479,0.89541,0.99292,1,0.995,0.8913,0.49259,0.5569,0.86773,0.000376352,0.000376352,0.000376352
78,218.632,0.34165,0.48484,0.85778,0.99355,1,0.995,0.88702,0.44983,0.54223,0.84564,0.000366058,0.000366058,0.000366058
79,221.396,0.3434,0.48193,0.87298,0.99355,1,0.995,0.88702,0.44983,0.54223,0.84564,0.000355368,0.000355368,0.000355368
80,224.104,0.33606,0.47702,0.88271,0.99355,1,0.995,0.88702,0.44983,0.54223,0.84564,0.000344282,0.000344282,0.000344282
